pid 83436's current affinity list: 0-11,48-59
pid 83436's new affinity list: 0-11,48-59
pid 83437's current affinity list: 0-11,48-59
pid 83437's new affinity list: 0-11,48-59
pid 83438's current affinity list: 0-11,48-59
pid 83438's new affinity list: 0-11,48-59
pid 83439's current affinity list: 0-11,48-59
pid 83439's new affinity list: 0-11,48-59
pid 83440's current affinity list: 0-11,48-59
pid 83440's new affinity list: 0-11,48-59
pid 83441's current affinity list: 0-11,48-59
pid 83441's new affinity list: 0-11,48-59
pid 83442's current affinity list: 0-11,48-59
pid 83442's new affinity list: 0-11,48-59
pid 83443's current affinity list: 0-11,48-59
pid 83443's new affinity list: 0-11,48-59
pid 83444's current affinity list: 0-11,48-59
pid 83444's new affinity list: 0-11,48-59
pid 83445's current affinity list: 0-11,48-59
pid 83445's new affinity list: 0-11,48-59
pid 83446's current affinity list: 0-11,48-59
pid 83446's new affinity list: 0-11,48-59
pid 83447's current affinity list: 0-11,48-59
pid 83447's new affinity list: 0-11,48-59
pid 83448's current affinity list: 0-11,48-59
pid 83448's new affinity list: 0-11,48-59
pid 83449's current affinity list: 0-11,48-59
pid 83449's new affinity list: 0-11,48-59
pid 83450's current affinity list: 0-11,48-59
pid 83450's new affinity list: 0-11,48-59
pid 83451's current affinity list: 0-11,48-59
pid 83451's new affinity list: 0-11,48-59
pid 83452's current affinity list: 0-11,48-59
pid 83452's new affinity list: 0-11,48-59
pid 83453's current affinity list: 0-11,48-59
pid 83453's new affinity list: 0-11,48-59
pid 83454's current affinity list: 0-11,48-59
pid 83454's new affinity list: 0-11,48-59
pid 83455's current affinity list: 0-11,48-59
pid 83455's new affinity list: 0-11,48-59
pid 83456's current affinity list: 0-11,48-59
pid 83456's new affinity list: 0-11,48-59
pid 83457's current affinity list: 0-11,48-59
pid 83457's new affinity list: 0-11,48-59
pid 83458's current affinity list: 0-11,48-59
pid 83458's new affinity list: 0-11,48-59
pid 83459's current affinity list: 0-11,48-59
pid 83459's new affinity list: 0-11,48-59
pid 83460's current affinity list: 0-11,48-59
pid 83460's new affinity list: 0-11,48-59
pid 83461's current affinity list: 0-11,48-59
pid 83461's new affinity list: 0-11,48-59
pid 83463's current affinity list: 0-11,48-59
pid 83463's new affinity list: 0-11,48-59
pid 83528's current affinity list: 0-11,48-59
pid 83528's new affinity list: 0-11,48-59
pid 83529's current affinity list: 0-11,48-59
pid 83529's new affinity list: 0-11,48-59
pid 83530's current affinity list: 0-11,48-59
pid 83530's new affinity list: 0-11,48-59
pid 83536's current affinity list: 0-11,48-59
pid 83536's new affinity list: 0-11,48-59
pid 83538's current affinity list: 0-11,48-59
pid 83538's new affinity list: 0-11,48-59
pid 83539's current affinity list: 0-11,48-59
pid 83539's new affinity list: 0-11,48-59
pid 83540's current affinity list: 0-11,48-59
pid 83540's new affinity list: 0-11,48-59
pid 83541's current affinity list: 0-11,48-59
pid 83541's new affinity list: 0-11,48-59
pid 83542's current affinity list: 0-11,48-59
pid 83542's new affinity list: 0-11,48-59
pid 83543's current affinity list: 0-11,48-59
pid 83543's new affinity list: 0-11,48-59
pid 83544's current affinity list: 0-11,48-59
pid 83544's new affinity list: 0-11,48-59
pid 83545's current affinity list: 0-11,48-59
pid 83545's new affinity list: 0-11,48-59
pid 83546's current affinity list: 0-11,48-59
pid 83546's new affinity list: 0-11,48-59
pid 83547's current affinity list: 0-11,48-59
pid 83547's new affinity list: 0-11,48-59
pid 83548's current affinity list: 0-11,48-59
pid 83548's new affinity list: 0-11,48-59
pid 83549's current affinity list: 0-11,48-59
pid 83549's new affinity list: 0-11,48-59
pid 83550's current affinity list: 0-11,48-59
pid 83550's new affinity list: 0-11,48-59
pid 83551's current affinity list: 0-11,48-59
pid 83551's new affinity list: 0-11,48-59
pid 83552's current affinity list: 0-11,48-59
pid 83552's new affinity list: 0-11,48-59
pid 83553's current affinity list: 0-11,48-59
pid 83553's new affinity list: 0-11,48-59
pid 83554's current affinity list: 0-11,48-59
pid 83554's new affinity list: 0-11,48-59
pid 83555's current affinity list: 0-11,48-59
pid 83555's new affinity list: 0-11,48-59
pid 83556's current affinity list: 0-11,48-59
pid 83556's new affinity list: 0-11,48-59
pid 83557's current affinity list: 0-11,48-59
pid 83557's new affinity list: 0-11,48-59
pid 83558's current affinity list: 0-11,48-59
pid 83558's new affinity list: 0-11,48-59
pid 83559's current affinity list: 0-11,48-59
pid 83559's new affinity list: 0-11,48-59
pid 83560's current affinity list: 0-11,48-59
pid 83560's new affinity list: 0-11,48-59
pid 83561's current affinity list: 0-11,48-59
pid 83561's new affinity list: 0-11,48-59
pid 83562's current affinity list: 0-11,48-59
pid 83562's new affinity list: 0-11,48-59
pid 83563's current affinity list: 0-11,48-59
pid 83563's new affinity list: 0-11,48-59
pid 83564's current affinity list: 0-11,48-59
pid 83564's new affinity list: 0-11,48-59
pid 83565's current affinity list: 0-11,48-59
